40253,2010,ANTH,110,11,NH,118
40254,2010,ECON,100,15,NH,120
40260,2010,SOCI,217,10,NH,18
40261,2010,ECON,252,20,CA,7
40262,2010,SOCI,250,11,NH,118
40263,2010,SOCI,250,12,NH,120
40279,2010,SOCI,202,20,AX,124
40306,2010,ENGR,221,10,EG,22
40307,2010,ENGR,222,20,PS,3034
40309,2010,ENGR,223,10,PS,3034
40311,2010,ENGR,224,20,PS,3034
40316,2010,ENGR,231,10,PS,3034
40323,2010,ENGR,233,10,EG,22
40324,2010,ENGR,234,20,PS,3034
40325,2010,ENGR,235,10,PS,3034
40326,2010,ENGR,236,20,PS,3034
40327,2010,MATH,100,11,NH,B19
40328,2010,ENGR,237,10,PS,3034
40329,2010,ENGR,238,10,PS,3034
40330,2010,MATH,100,12,NH,17
40331,2010,ENGR,242,20,PS,3034
40333,2010,ENGR,244,20,EG,22
40335,2010,ENGR,246,20,PS,3035
40342,2010,PSCI,100,11,NH,121
40345,2010,PSCI,100,12,NH,120
40348,2010,PSCI,100,13,NH,121
40350,2010,PSCI,100,14,NH,119
40352,2010,PSCI,100,15,NH,16
40355,2010,MATH,205,11,NH,123LAB
40356,2010,PSCI,200,0,NH,17
40362,2010,MATH,205,21,NH,17
40366,2010,MATH,205,22,NH,119
40369,2010,PSCI,220,11,NH,18
40375,2010,PSCI,250,0,NH,125
40393,2010,MATH,253,11,NH,119
40401,2010,CELT,300,0,IM,202
40405,2010,IDS,305,20,,
40415,2010,WMNS,400,0,,
40524,2010,RELS,300,11,NH,121
40546,2010,HIST,400,0,NH,320
40550,2010,HIST,460,0,NH,320
40552,2010,BSAD,323,11,NH,B27
40554,2010,BSAD,324,21,NH,120
40561,2010,MATH,361,10,NH,122
40584,2010,MATH,491,0,AX,23A
40585,2010,MATH,493,0,,
40587,2010,BSAD,341,12,NH,B19
40588,2010,BSAD,341,11,NH,B20
40591,2010,BSAD,342,21,NH,18
40593,2010,BSAD,351,10,NH,B24
40596,2010,BSAD,356,11,NH,B27
40600,2010,BSAD,361,11,EG,21
40603,2010,ECON,330,0,BB,305
40609,2010,BSAD,362,21,NH,121
40610,2010,BSAD,362,22,NH,125
40642,2010,BSAD,391,20,BB,305
40655,2010,BSAD,426,10,NH,B21
40687,2010,INFO,415,10,SC,13
40689,2010,INFO,416,20,,
40696,2010,INFO,435,10,BB,334
40697,2010,INFO,465,11,NH,122
40704,2010,BIOL,311,10,BB,337
40706,2010,BIOL,315,10,NH,B20
40711,2010,BIOL,331,20,BB,237
40713,2010,BIOL,343,20,BB,305
40718,2010,BIOL,395,10,NH,119
40727,2010,BIOL,475,20,,
40728,2010,BIOL,491,0,BB,237
40729,2010,BIOL,493,0,,
40731,2010,NURS,300,0,AX,124
40733,2010,NURS,305,10,NH,20
40734,2010,NURS,305,20,NH,20
40735,2010,NURS,310,0,NH,B21
40741,2010,NURS,355,10,MB,1
40742,2010,NURS,355,20,MB,1
40743,2010,NURS,405,11,MA,15
40744,2010,NURS,415,21,CA,7
40754,2010,NURS,486,10,,
40755,2010,NURS,491,21,MA,15
40756,2010,NURS,493,11,MA,15
40774,2010,ENGL,355,10,BB,305
40775,2010,ENGL,356,20,IM,202
40783,2010,ENGL,445,0,NH,420
40815,2010,HKIN,365,10,NH,B33
40828,2010,HKIN,491,0,OC,205A
40832,2010,HNU,361,10,SC,11
40833,2010,HNU,362,20,SC,11
40834,2010,HNU,365,10,NH,118
40835,2010,HNU,385,20,BB,236
40841,2010,HNU,455,20,SC,11
40844,2010,HNU,491,0,BB,237
40849,2010,CSCI,375,20,,
40853,2010,BIOL,252,20,NH,B33
40854,2010,CSCI,383,10,AX,23A
40861,2010,CSCI,491,0,AX,23A
40862,2010,CSCI,493,0,,
40863,2010,PSYC,300,0,NH,16
40864,2010,PSYC,310,0,AX,8
40866,2010,PSYC,350,0,NH,B24
40872,2010,MUSI,390,0,,
40877,2010,PSYC,370,11,NH,19
40879,2010,PSYC,390,0,NH,B27
40880,2010,PSYC,391,0,NH,B19
40881,2010,PSYC,420,0,AX,8
40882,2010,PSYC,430,0,BB,237
40883,2010,PSYC,440,0,AX,8
40884,2010,PSYC,460,0,AX,8
40885,2010,PSYC,490,0,,
40886,2010,PSYC,491,0,NH,B19
40903,2010,MUSI,465,0,AQ,210
40904,2010,MUSI,490,0,,
40913,2010,SOCI,417,20,AX,113
41024,2010,ENGR,121,10,EG,22
41025,2010,ENGR,122,20,EG,22
41033,2010,SOCI,300,0,AX,124
41038,2010,WMNS,217,10,NH,18
41056,2010,WMNS,417,20,AX,113
41123,2010,ART,125,10,AR,0
